sku,price
992500,"84,87"
265109,"1105,77"
839010,"232,47"
595541,"47,97"
231296,"33,21"
976326,"261,99"
815786,"1597,77"
812679,"1044,27"
812761,"1659,27"
812952,"2212,77"
812969,"2335,77"
513071,"146,37"
786369,"75,03"
786376,"115,62"
786383,"158,67"
786307,"17,22"
786352,"44,28"
786321,"35,67"
786338,"54,12"
707814,"158,67"
239186,"71,34"
470930,"134,07"
290934,"17218,77"
290965,"13528,77"
810255,"687,57"
970300,"933,57"
810262,"1056,57"
970522,"441,57"
810163,"1167,27"
810170,"1388,67"
970515,"1191,87"
810279,"1659,27"
810293,"1327,17"
970508,"380,07"
238905,"613,77"
201107,"736,77"
201206,"1474,77"
201466,"2520,27"
238912,"650,67"
238967,"724,47"
689851,"72,57"
689868,"88,56"
808801,"343,17"
890387,"244,77"
808238,"293,97"
808856,"207,87"
943380,"72,57"
617083,"27,06"
617106,"33,21"
617205,"35,67"
617304,"36,90"
617403,"38,13"
617410,"44,28"
617427,"55,35"
617434,"68,88"
617069,"20,91"
617076,"24,60"
617090,"29,52"
617489,"99,63"
617885,"30,75"
617892,"34,44"
617908,"35,67"
617915,"39,36"
617922,"41,82"
617939,"44,28"
617946,"45,51"
617953,"61,50"
617960,"73,80"
617977,"98,40"
617984,"110,70"
617991,"158,67"
808276,"109,47"
616901,"54,12"
616918,"60,27"
616925,"60,27"
616932,"63,96"
616949,"84,87"
808207,"115,62"
808306,"97,17"
808405,"183,27"
808429,"170,97"
808313,"102,09"
808412,"170,97"
808214,"135,30"
808221,"244,77"
808863,"220,17"
808849,"244,77"
221570,"3135,27"
238097,"1105,77"
230718,"1056,57"
224205,"44,28"
230688,"1720,77"
230695,"1892,97"
232422,"1248,45"
2009422,"330,87"
1023328,"1351,77"
1023320,"958,17"
508503,"89,79"
508510,"93,48"
508527,"118,08"
564516,"54,12"
426487,"23,37"
274064,"9838,77"
274057,"9838,77"
770924,"29,52"
28891,"129,15"
201732,"12,30"
535219,"183,27"
639283,"44,28"
639290,"60,27"
639306,"78,72"
289976,"195,57"
563502,"19,68"
563557,"19,68"
563700,"20,91"
563755,"20,91"
542606,"54,12"
563632,"9,84"
563649,"9,84"
855522,"141,45"
855621,"72,57"
529003,"36,90"
529010,"36,90"
527108,"19,68"
527207,"23,37"
527306,"25,83"
540107,"33,21"
540305,"41,82"
540404,"51,66"
540503,"71,34"
540602,"78,72"
540701,"88,56"
617700,"41,82"
617717,"188,19"
617731,"46,74"
998953,"97,17"
270875,"170,97"
209073,"23368,77"
452400,"19,68"
452455,"24,60"
452202,"27,06"
452103,"41,82"
222546,"5292,69"
1180100,"5461,20"
1180120,"6919,98"
1180140,"8728,08"
221129,"613,77"
221136,"1474,77"
221143,"2458,77"
209936,"146,37"
209981,"134,07"
209998,"220,17"
209943,"207,87"
624302,"216,48"
560044,"24,60"
560105,"87,33"
588901,"21,06"
588918,"18,45"
588925,"12,30"
588932,"23,37"
588949,"31,98"
505472,"146,37"
505465,"170,97"
505489,"121,77"
505458,"158,67"
505441,"244,77"
505106,"41,82"
505205,"57,81"
826379,"111,93"
826386,"150,06"
826393,"183,27"
825518,"51,66"
825525,"51,66"
825532,"51,66"
825549,"51,66"
825556,"51,66"
825563,"51,66"
825570,"51,66"
825600,"158,67"
825617,"158,67"
825624,"158,67"
825631,"158,67"
825655,"158,67"
825648,"158,67"
825662,"158,67"
826003,"91,02"
826010,"91,02"
826027,"91,02"
826034,"91,02"
826058,"91,02"
826041,"91,02"
826065,"91,02"
826102,"44,28"
826119,"44,28"
826126,"44,28"
826133,"44,28"
826157,"44,28"
826140,"44,28"
826164,"44,28"
826805,"51,66"
826843,"51,66"
826812,"51,66"
826829,"51,66"
826836,"51,66"
826850,"51,66"
13998037,"50,07"
505502,"170,97"
826348,"22,14"
826355,"36,90"
826478,"23,37"
826485,"31,98"
505724,"97,17"
505731,"121,77"
505748,"146,37"
505755,"97,17"
505762,"121,77"
505779,"146,37"
826362,"66,42"
505533,"97,17"
616994,"349,32"
506387,"322,26"
500040,"127,92"
500057,"146,37"
505410,"121,77"
505427,"121,77"
505434,"134,07"
505397,"121,77"
505380,"170,97"
505168,"72,57"
505175,"97,17"
505182,"121,77"
505229,"84,87"
505236,"121,77"
505199,"97,17"
505212,"158,67"
505243,"109,47"
505250,"121,77"
505267,"195,57"
513866,"1150,05"
506912,"109,47"
506905,"220,17"
505007,"45,51"
505403,"99,63"
826171,"49,20"
505540,"60,27"
505557,"70,11"
505564,"77,49"
505571,"94,71"
505588,"134,07"
999943,"38,13"
963234,"244,77"
595534,"27,06"
598009,"30,75"
598207,"30,75"
598405,"30,75"
231142,"429,27"
235973,"343,17"
599006,"15,99"
599105,"15,99"
599204,"15,99"
599112,"43,05"
599198,"46,12"
199503,"115,62"
199480,"115,62"
199510,"115,62"
199466,"115,62"
199473,"115,62"
199534,"115,62"
199497,"115,62"
199527,"115,62"
664186,"29,52"
557600,"30,75"
452424,"30,75"
425343,"1351,77"
557402,"441,57"
462904,"54,12"
465370,"56,58"
425299,"478,47"
425190,"613,77"
425411,"961,86"
425428,"456,33"
425435,"910,20"
425206,"4057,77"
558096,"7,38"
558010,"4,92"
558027,"4,92"
558003,"4,92"
557815,"4,92"
557822,"5,54"
557808,"5,54"
557914,"6,76"
557921,"6,76"
557907,"6,76"
631201,"28,29"
631102,"28,29"
631300,"31,98"
